epoch,train_loss,val_loss,rmse
1,0.03307589245070914,0.030249076895415783,0.1739681512117386
2,0.0326297800314037,0.02931782914325595,0.17135241627693176
3,0.02745978340235113,0.026913011688739063,0.16419272124767303
4,0.025341363090216815,0.027144459802657367,0.16482912003993988
5,0.02431295733037756,0.027475568689405917,0.16582322120666504
6,0.022937066740726108,0.026118941698223354,0.16162538528442383
7,0.023273408450373453,0.027347350586205722,0.16535812616348267
8,0.02616575924707717,0.027232977394014597,0.16509711742401123
9,0.022117492590736056,0.02608819369226694,0.16157659888267517
10,0.01986968337122969,0.02699324695393443,0.16442754864692688
11,0.01827637198844447,0.02742072530090809,0.16560497879981995
12,0.017774220371160224,0.02564489534124732,0.16017253696918488
13,0.017019539140164852,0.025278025195002555,0.15903201699256897
14,0.01654186955976052,0.025158241242170334,0.15866702795028687
15,0.016918997107139185,0.02449501408264041,0.15658214688301086
16,0.017640001433035686,0.028099789191037415,0.16755034029483795
17,0.019276615410069725,0.0256937406770885,0.16034634411334991
18,0.01629069898202641,0.0266871028020978,0.16333447396755219
19,0.017040754846255085,0.024691368341445922,0.1572325974702835
20,0.01393286463799863,0.02444489160552621,0.15649327635765076
